"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0,0.008,0.008,0.008,0.008,0.056,0.352
"0.05",0.04,0.048,0.056,0.088,0.248,0.672,0.792
"0.1",0.088,0.128,0.16,0.248,0.592,0.816,0.88
"0.2",0.192,0.216,0.256,0.448,0.76,0.88,0.936
"0.3",0.288,0.32,0.432,0.672,0.864,0.928,0.968
"0.4",0.392,0.48,0.536,0.808,0.896,0.96,1
"0.5",0.488,0.56,0.624,0.856,0.944,0.976,1
"0.6",0.592,0.68,0.792,0.944,0.968,1,1
"0.7",0.688,0.808,0.904,0.952,0.976,1,1
"0.8",0.792,0.872,0.952,0.968,1,1,1
"0.9",0.888,0.984,0.992,1,1,1,1
"1",0.992,1,1,1,1,1,1
